edition,edition_id,country_noc,sport,event,result_id,athlete_id,medal,isTeamSport
2012 Summer Olympics,54,BRN,Athletics,"1,500 metres, Women",302391,115219,Gold,FALSE
2016 Summer Olympics,59,BRN,Athletics,"Marathon, Women",359066,129369,Silver,FALSE
2016 Summer Olympics,59,BRN,Athletics,"3,000 metres Steeplechase, Women",359093,129374,Gold,FALSE
2020 Summer Olympics,61,BRN,Athletics,"10,000 metres, Women",19000739,141289,Silver,FALSE
2000 Summer Olympics,25,BAR,Athletics,"100 metres, Men",65310,65090,Bronze,FALSE
2008 Summer Olympics,53,AFG,Taekwondo,"Flyweight, Men",262097,117410,Bronze,FALSE
2012 Summer Olympics,54,AFG,Taekwondo,"Featherweight, Men",325026,117410,Bronze,FALSE
1996 Summer Olympics,24,ARM,Wrestling,"Flyweight, Greco-Roman, Men",132507,57138,Gold,FALSE
1996 Summer Olympics,24,ARM,Wrestling,"Light-Flyweight, Freestyle, Men",131909,57137,Silver,FALSE
2000 Summer Olympics,25,ARM,Weightlifting,"Middleweight, Men",30188,94905,Bronze,FALSE
2008 Summer Olympics,53,ARM,Boxing,"Lightweight, Men",258347,112962,Bronze,FALSE
2008 Summer Olympics,53,ARM,Weightlifting,"Middleweight, Men",263024,116354,Bronze,FALSE
2008 Summer Olympics,53,ARM,Weightlifting,"Light-Heavyweight, Men",263033,104584,Silver,FALSE
2008 Summer Olympics,53,ARM,Wrestling,"Featherweight, Greco-Roman, Men",263597,117136,Bronze,FALSE
2008 Summer Olympics,53,ARM,Wrestling,"Super-Heavyweight, Greco-Roman, Men",263873,117213,Bronze,FALSE
2012 Summer Olympics,54,ARM,Wrestling,"Middleweight, Greco-Roman, Men",332138,117182,Silver,FALSE
2012 Summer Olympics,54,ARM,Wrestling,"Heavyweight, Greco-Roman, Men",332230,120952,Bronze,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Heavyweight, Men",354344,132441,Silver,FALSE
2016 Summer Olympics,59,ARM,Weightlifting,"Super-Heavyweight, Men",354353,132439,Silver,FALSE
2016 Summer Olympics,59,ARM,Wrestling,"Welterweight, Greco-Roman, Men",355542,132445,Silver,FALSE
2016 Summer Olympics,59,ARM,Wrestling,"Heavyweight, Greco-Roman, Men",355680,120952,Gold,FALSE
2020 Summer Olympics,61,ARM,Artistic Gymnastics,"Horse Vault, Men",19009133,120896,Bronze,FALSE
2020 Summer Olympics,61,ARM,Boxing,"Lightweight, Men",19005674,132432,Bronze,FALSE
2020 Summer Olympics,61,ARM,Weightlifting,"Heavyweight, Men",19002065,132441,Silver,FALSE
2020 Summer Olympics,61,ARM,Wrestling,"Heavyweight, Greco-Roman, Men",19009416,120952,Silver,FALSE
1996 Summer Olympics,24,AZE,Wrestling,"Flyweight, Freestyle, Men",131962,57256,Silver,FALSE
2000 Summer Olympics,25,AZE,Boxing,"Middleweight, Men",27265,90108,Bronze,FALSE
2000 Summer Olympics,25,AZE,Shooting,"Skeet, Women",51980,93007,Gold,FALSE
2000 Summer Olympics,25,AZE,Wrestling,"Bantamweight, Freestyle, Men",132995,57256,Gold,FALSE
