edition_id,year,country_noc,gold,silver,bronze,total
20,1980,URS,80,69,46,195
20,1980,GDR,47,37,42,126
20,1980,BUL,8,16,17,41
20,1980,CUB,8,7,5,20
20,1980,ITA,8,3,4,15
20,1980,HUN,7,10,15,32
20,1980,ROU,6,6,13,25
20,1980,FRA,6,5,3,14
20,1980,GBR,5,7,9,21
20,1980,POL,3,14,15,32
20,1980,SWE,3,3,6,12
20,1980,FIN,3,1,4,8
20,1980,TCH,2,3,9,14
20,1980,YUG,2,3,4,9
20,1980,AUS,2,2,5,9
20,1980,DEN,2,1,2,5
20,1980,BRA,2,0,2,4
20,1980,ETH,2,0,2,4
20,1980,SUI,2,0,0,2
20,1980,ESP,1,3,2,6
20,1980,AUT,1,2,1,4
20,1980,GRE,1,0,2,3
20,1980,BEL,1,0,0,1
20,1980,IND,1,0,0,1
20,1980,ZIM,1,0,0,1
20,1980,PRK,0,3,2,5
20,1980,MGL,0,2,2,4
20,1980,TAN,0,2,0,2
20,1980,MEX,0,1,3,4
20,1980,NED,0,1,2,3
20,1980,IRL,0,1,1,2
20,1980,UGA,0,1,0,1
20,1980,VEN,0,1,0,1
20,1980,JAM,0,0,3,3
20,1980,GUY,0,0,1,1
20,1980,LBN,0,0,1,1
21,1984,USA,83,61,30,174
21,1984,ROU,20,16,17,53
21,1984,FRG,17,19,23,59
21,1984,CHN,15,8,9,32
21,1984,ITA,14,6,12,32
21,1984,CAN,10,18,16,44
21,1984,JPN,10,8,14,32
21,1984,NZL,8,1,2,11
21,1984,YUG,7,4,7,18
21,1984,KOR,6,6,7,19
21,1984,GBR,5,11,21,37
21,1984,FRA,5,7,16,28
21,1984,NED,5,2,6,13
21,1984,AUS,4,8,12,24
21,1984,FIN,4,2,6,12
21,1984,SWE,2,11,6,19
21,1984,MEX,2,3,1,6
21,1984,MAR,2,0,0,2
21,1984,BRA,1,5,2,8
21,1984,ESP,1,2,2,5
21,1984,BEL,1,1,2,4
21,1984,AUT,1,1,1,3
21,1984,KEN,1,0,2,3
21,1984,POR,1,0,2,3
21,1984,PAK,1,0,0,1
21,1984,SUI,0,4,4,8
21,1984,DEN,0,3,3,6
21,1984,JAM,0,1,2,3
21,1984,NOR,0,1,2,3
21,1984,GRE,0,1,1,2
21,1984,NGR,0,1,1,2
21,1984,PUR,0,1,1,2
21,1984,COL,0,1,0,1
