athlete_id,sex,born,birthYear,height,weight,country_noc
43737,Male,31/08/1947,1947,173,72,POL
50147,Female,03/06/1971,1971,170,50,SUI
5085,Male,10/09/1935,1935,182,76,YUG
136329,Male,17/05/1992,1992,203,100,USA
38633,Male,30/07/1942,1942,181,80,JPN
77095,Male,23/11/1947,1947,165,51,UGA
48654,Female,10/02/1949,1949,162,58,JPN
136346,Male,15/03/1996,1996,185,70,USA
34239,Male,23/12/1948,1948,193,93,AUT
32943,Female,06/06/1963,1963,167,59,USA
70628,Female,21/12/1951,1951,165,52,GHA
1700071,Female,07/09/1964,1964,168,57,KOR
37255,Male,25/10/1935,1935,188,77,GBR
104907,Female,22/07/1984,1984,165,65,KIR
138033,Male,22/07/1991,1991,180,100,SUI
77283,Female,17/12/1950,1950,172,67,URS
58599,Male,27/11/1939,1939,198,125,HUN
104975,Female,03/12/1977,1977,158,45,RUS
78383,Male,30/09/1957,1957,178,65,USA
31969,Male,11/06/1970,1970,194,99,CRO
22085,Male,14/08/1955,1955,175,73,GBR
120819,Female,21/07/1989,1989,172,56,LBN
52084,Male,31/07/1954,1954,177,69,BRA
99358,Male,30/08/1976,1976,185,82,USA
131521,Female,12/09/2002,2002,183,60,ROU
61315,Male,01/02/1967,1967,186,90,FRA
3706,Male,04/08/1944,1944,185,83,GHA
48686,Female,15/10/1942,1942,155,50,JPN
81051,Female,31/01/1960,1960,167,66,FRG
91237,Female,17/03/1983,1983,167,43,BLR
104818,Male,13/07/1976,1976,184,100,FIN
68771,Female,17/09/1951,1951,178,71,GBR
14154,Male,05/08/1950,1950,178,67,LUX
99329,Male,10/10/1935,1935,172,62,SWE
10232,Male,10/12/1957,1957,176,67,JPN
5695,Male,19/04/1922,1922,183,75,USA
26375,Male,02/11/1911,1911,172,61,LUX
77687,Male,28/07/1957,1957,174,58,URS
109202,Female,18/03/1982,1982,159,56,ITA
52025,Female,26/09/1969,1969,192,84,BRA
120886,Female,26/02/1988,1988,165,44,JPN
90256,Male,04/04/1975,1975,185,83,SVK
80966,Female,11/02/1976,1976,164,60,SLO
1465,Female,29/03/1969,1969,167,68,CHN
91974,Male,08/05/1935,1935,187,90,FIN
10438,Male,14/02/1971,1971,176,71,NZL
120281,Female,17/06/1984,1984,172,56,SLO
46654,Male,11/12/1973,1973,175,74,FIN
137091,Female,14/04/1994,1994,175,64,EST
134220,Male,20/03/1994,1994,178,72,GER
118689,Male,06/02/1983,1983,184,90,LIE
72827,Male,21/02/1961,1961,178,64,KEN
798,Male,08/12/1960,1960,184,79,ISL
95126,Male,07/09/1971,1971,175,69,IRI
133377,Male,10/01/1991,1991,184,64,CUB
5920,Male,17/07/1911,1911,172,71,FRA
120666,Male,02/03/1986,1986,178,85,IND
82079,Female,29/11/1961,1961,174,58,NOR
52080,Male,18/03/1947,1947,183,82,BRA
28625,Female,13/11/1976,1976,158,46,HUN
94536,Female,04/08/1973,1973,178,63,GER
101420,Female,10/06/1980,1980,160,54,BUL
123661,Female,07/05/1990,1990,163,58,ARG
8710,Male,29/09/1905,1905,160,51,USA
821,Male,24/05/1970,1970,178,68,ITA
98455,Male,14/05/1944,1944,175,78,SUI
116690,Female,09/01/1960,1960,160,57,RUS
87278,Male,02/03/1940,1940,180,76,SWE
27941,Male,06/08/1952,1952,179,71,YUG
20502,Female,24/01/1951,1951,160,54,AUS
31743,Male,24/01/1941,1941,182,80,GDR
143729,Female,27/08/1993,1993,168,58,IND
81789,Female,27/02/1964,1964,168,52,CAN
134932,Male,29/10/1991,1991,169,75,KOR
48426,Female,23/07/1956,1956,162,50,ITA
84804,Male,04/09/1947,1947,176,75,ITA
59691,Male,23/01/1955,1955,192,100,POL
46039,Male,29/10/1962,1962,168,65,CAN
