result_id,event_title,edition_id,sport
29722,"Featherweight (≤60 kilograms), Men",20,Weightlifting
54255,"Platform, Men",23,Diving
51929,"Rapid-Fire Pistol, 25 metres, Men",25,Shooting
256298,"Kayak Doubles, 500 metres, Women",25,Canoe Sprint
256358,"Canadian Singles, 500 metres, Men",26,Canoe Sprint
6995,"1,500 metres Freestyle, Men",21,Swimming
10197,"Windsurfer (Lechner Division II), Open",22,Sailing
19000470,"4 × 100 metres Relay, Men",61,Athletics
260689,"Lightweight (≤57 kilograms), Women",53,Judo
185419,"Individual, Open",23,Equestrian Jumping
29816,"Featherweight (≤60 kilograms), Men",21,Weightlifting
302141,"3,000 metres Steeplechase, Men",54,Athletics
30811,"Baseball, Men",26,Baseball
67511,"Individual, Women",22,Rhythmic Gymnastics
45440,"Singles, Men",24,Tennis
19012189,"Team, Open",61,Equestrian Dressage
67500,"Individual, Women",21,Rhythmic Gymnastics
51959,"Air Pistol, 10 metres, Women",25,Shooting
70739,"Horse Vault, Women",24,Artistic Gymnastics
45947,"Doubles, Men",26,Tennis
158995,"Coxed Quadruple Sculls, Women",21,Rowing
8877,"200 metres Individual Medley, Men",26,Swimming
30104,"Middleweight (≤76 kilograms), Men",24,Weightlifting
262678,"Team, Women",53,Table Tennis
50288,"Individual, Men",26,Modern Pentathlon
34725,"Handball, Women",21,Handball
16794,"Heavyweight (>95 kilograms), Men",22,Judo
51773,"Air Rifle, 10 metres, Women",21,Shooting
261405,"Skeet, Men",53,Shooting
51890,"Small-Bore Rifle, Three Positions, 50 metres, Men",24,Shooting
34202,"Football, Women",25,Football
155049,"Sprint, Men",26,Cycling Track
70829,"Individual All-Around, Men",26,Artistic Gymnastics
64779,"4 x 100 metres Relay, Men",24,Athletics
90016763,"Doubles, Women",22,Badminton
8491,"400 metres Individual Medley, Men",25,Swimming
155139,"Sprint, Women",26,Cycling Track
10608,"Multihull (Tornado), Open",24,Sailing
901176,"Middleweight (≤ 70 kilograms), Women",23,Taekwondo
313027,"Parallel Bars, Men",54,Artistic Gymnastics
18000588,"Individual, Women",61,Archery
7205,"200 metres Butterfly, Women",21,Swimming
62286,"20 kilometres Race Walk, Men",20,Athletics
259958,"Individual All-Around, Men",53,Artistic Gymnastics
358677,"4 x 400 metres Relay, Men",59,Athletics
31600,"Softball, Women",24,Softball
130167,"Heavyweight, Freestyle (≤100 kilograms), Men",22,Wrestling
63214,"Heptathlon, Women",21,Athletics
159012,"Single Sculls, Men",22,Rowing
261275,"Three Person Keelboat (Yngling), Women",53,Sailing
32969,"Basketball, Women",25,Basketball
261876,"Team, Women",53,Artistic Swimming
351748,"Doubles, Women",59,Badminton
51832,"Free Pistol, 50 metres, Men",23,Shooting
359110,"20 kilometres Race Walk, Women",59,Athletics
62738,"Marathon, Men",21,Athletics
40646,"Individual, Women",21,Archery
256265,"Canadian Doubles, 1,000 metres, Men",25,Canoe Sprint
134052,"Welterweight, Greco-Roman (≤66 kilograms), Men",26,Wrestling
19000233,"4 x 200 metres Freestyle Relay, Women",61,Swimming
30077,"Bantamweight (≤59 kilograms), Men",24,Weightlifting
302552,"4 x 400 metres Relay, Women",54,Athletics
63128,"High Jump, Women",21,Athletics
62350,"Long Jump, Men",20,Athletics
154648,"100 kilometres Team Time Trial, Men",22,Cycling Road
19016138,"Kayak Doubles, 1,000 metres, Men",61,Canoe Sprint
29906,"Featherweight (≤60 kilograms), Men",22,Weightlifting
18001466,"Heavyweight (>78 kilograms), Women",61,Judo
332000,"Featherweight, Greco-Roman (≤55 kilograms), Men",54,Wrestling
358817,"Hammer Throw, Men",59,Athletics
258609,"Beach Volleyball, Men",53,Beach Volleyball
351430,"Featherweight (≤57 kilograms), Women",59,Taekwondo
258676,"Beach Volleyball, Women",53,Beach Volleyball
255651,"Canadian Doubles, 500 metres, Men",20,Canoe Sprint
6934,"4 x 100 metres Freestyle Relay, Women",20,Swimming
70605,"Individual All-Around, Women",22,Artistic Gymnastics
355634,"Light-Heavyweight, Greco-Roman (≤85 kilograms), Men",59,Wrestling
